name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates
H2O.ai,Software,33.6,operating,USA,CA,Mountain View,4,Capital One:20000000|Nexus Venture Partners:33600000.0|Paxion Capital Partners:20000000|Transamerica:20000000|Transamerica Ventures:8900000|Anand Babu Periasamy:1700000|Anand Rajaraman:1700000|Ash Bhardwaj:8900000|Michael Marks:8900000|Rajesh Ambati:8900000|Rakesh Mathur:8900000,11,-,-,-,-,-,-,-,Santa Clara,2011,37.399364:-122.079517
One Inc.,Mobile,1.15005,operating,USA,CA,San Francisco,3,Camp One Ventures:150000|CRV:1000050|General Catalyst Partners:1000050|Kima Ventures:150000|SV Angel:1000050|True Ventures:1000050|Gary Vaynerchuk:1000050|Keith Rabois:1000050|Michael Dearing:1000050|Naval Ravikant:1000050|Rick Marini:150000|VK Rajaram:150000,12,-,-,-,-,-,-,-,San Francisco,2011,37.727239:-123.032229
1000 Corks,Software,0.04,operating,USA,OR,Lake Oswego,1,Start-Up Chile:40000,1,-,-,-,-,-,-,-,Clackamas,2008,45.412305:-122.699154
1000museums.com,Software,6.795451,operating,USA,MA,Lenox,9,Alliance of Angels:1289879.0|Converge Venture Partners:4406832.0|New York Venture Partners:1289879.0|Scout Ventures:647879|Bradley C. Harrison:647879|Linda Holliday:647879|Paul Sethi:647879,7,-,-,-,-,-,-,-,Berkshire,2008,42.361228:-73.286788
Redox,Health,4,operating,USA,WI,Madison,2,.406 Ventures:3530000|DreamIt Ventures:470000|Flybridge Capital Partners:3530000|Healthx Ventures:3530000|TMCx Accelerator:470000|Mark Bakken:470000,6,-,-,-,-,-,-,-,Dane,2014,43.087806:-89.430121
1010data,Software,35,acquired,USA,NY,New York,1,Norwest Venture Partners - NVP:35000000,1,Advance Publications,Media,USA,NY,Staten Island,500000000,USD,New York,2000,40.664274:-73.9385
10sec,Finance,1.6,operating,USA,CA,San Francisco,2,CyberAgent Ventures:1600000,1,-,-,-,-,-,-,-,San Francisco,2013,37.727239:-123.032229
10X Genomics,Technology,55,operating,USA,CA,Pleasanton,1,Foresite Capital:55000000|Paladin Capital Group:55000000|Venrock:55000000,3,-,-,-,-,-,-,-,Alameda,2012,37.666151:-121.87828
12 Labs,Health,0.935,operating,USA,CA,Palo Alto,1,Serra Ventures:935000|David Opolon:935000|Evan Schwartz:935000|Marc Benioff:935000|PJ Singh:935000,5,-,-,-,-,-,-,-,Santa Clara,2014,37.399782:-122.142776
121nexus,Health,0.794,operating,USA,RI,Providence,6,"American Pioneer Ventures, Ltd:55000|Betaspring:14000|Mayfly Capital, LLC:500000|National Science Foundation:180000.0|Providence Economic Development Partnership:55000|Rhode Island Science & Technology Advisory Council:45000",6,-,-,-,-,-,-,-,Providence,2011,41.823056:-71.418779
1366 Technologies,Manufacturing,71.45,operating,USA,MA,Bedford,9,Energy Technology Ventures:15000000|Haiyin Capital:5000000|Hanwha Chemical Corporation:20000000|North Bridge Venture Partners & Growth Equity:58550000.0|Polaris Partners:58550000.0|Tokuyama:15000000|U.S. Department of Energy:3000000|VantagePoint Capital Partners:15000000|Vorndran Mannheims Capital:28500000.0,9,-,-,-,-,-,-,-,Middlesex,2007,-1
140 Proof,Marketing,5.5,operating,USA,CA,San Francisco,2,BlueRun Ventures:5500000.0|Founders Fund:5500000.0|SV Angel:2500000|Mark Kingdon:2500000,4,-,-,-,-,-,-,-,San Francisco,2010,37.727239:-123.032229
140Fire,Marketing,0.5,operating,USA,CA,Santa Monica,1,Y Combinator:500000,1,-,-,-,-,-,-,-,Los Angeles,2010,34.023413:-118.481666
15Five,Software,3.4,operating,USA,CA,San Francisco,3,500 Startups:1000000|DominateFund:1000000|Jumpstart Ventures:1000000|Matrix Partners:2200000|Point Nine Capital:2200000|Richmond Management:1000000|Slow Ventures:2200000|Benjamin Ling:1000000|David Sacks:1000000|Jason Calacanis:1000000|John Ham:1000000|Josh Hannah:2200000|Matt Brezina:1000000|William Guttman:1000000,14,-,-,-,-,-,-,-,San Francisco,2011,37.727239:-123.032229
170 Systems,Software,14,acquired,USA,MA,Bedford,1,Polaris Partners:14000000,1,Kofax,Software,USA,CA,Irvine,43000000,USD,Middlesex,1990,-1
17hats,Software,5.25,operating,USA,CA,Los Angeles,2,Wavemaker Partners:5250000.0,1,-,-,-,-,-,-,-,Los Angeles,2014,34.019394:-118.410825
One Block Off the Grid (1BOG),Technology,5,closed,USA,CA,San Francisco,1,New Enterprise Associates:5000000,1,-,-,-,-,-,-,-,San Francisco,2008,37.727239:-123.032229
1CommMedical,Health,2.5,operating,USA,IA,Ankeny,1,Next Level Ventures:2500000,1,-,-,-,-,-,-,-,Polk,2013,41.72789:-93.603196
Babyscripts,Health,2.1,operating,USA,DC,Washington,3,1776 Ventures:1900000.0|Ense Group:900000|Kensington Capital Partners Limited:1000000|Kensington Partners:900000,4,-,-,-,-,-,-,-,District Of Columbia,2013,38.904149:-77.017094
1Life Healthcare,Health,30,operating,USA,CA,San Francisco,1,Benchmark:30000000|DAG Ventures:30000000|Google Ventures:30000000|Maverick Capital:30000000|Oak Investment Partners:30000000,5,-,-,-,-,-,-,-,San Francisco,2002,37.727239:-123.032229
1Mind,Entertainment,0.5,operating,USA,NH,Hampton Falls,1,eCoast:500000|HardGamma Ventures:500000,2,-,-,-,-,-,-,-,Rockingham,2011,-1
1st Merchant Funding,Finance,10,operating,USA,FL,Miami,1,Bank United:10000000|Gries Investment Funds:10000000,2,-,-,-,-,-,-,-,Miami-dade,2007,25.775163:-80.208615
1stdibs,Finance,117,operating,USA,NY,New York,5,Alibaba:15000000|Benchmark:102000000.0|Index Ventures:42000000|Spark Capital:42000000,4,-,-,-,-,-,-,-,New York,2001,40.664274:-73.9385
1stGig.com,Finance,0.75,operating,USA,NY,Saratoga Springs,1,First Fairfield Associates:750000,1,-,-,-,-,-,-,-,Saratoga,2009,43.06781:-73.777635
1World Online,Software,4,operating,USA,CA,San Jose,3,AltaIR Capital:2500000|Altair Capital:2500000|DEFTA Partners:2500000|GVA LaunchGurus Fund 1 L.P.:2500000|NEST:2500000|Alex Fedosseev:1000000,6,-,-,-,-,-,-,-,Santa Clara,2011,37.296867:-121.819306
20/20 Gene Systems Inc.,Technology,4.345427,operating,USA,MD,Rockville,3,Maryland Venture Fund:150000,1,-,-,-,-,-,-,-,Montgomery,2000,39.083647:-77.155618
2080 Media,Entertainment,51.507046,operating,USA,GA,Atlanta,7,BIP Capital:35700000.0|Hamilton Ventures LLC:28500000.0|Herff Jones:26000000|Imlay Investments:28500000.0|Noro-Moseley Partners:2500000,5,-,-,-,-,-,-,-,Fulton,2008,33.762909:-84.422675
20x200,Education,2.8,operating,USA,NY,New York,2,AOL Ventures:2000000|Founder Collective:2800000.0|SV Angel:800000|True Ventures:2800000.0|Brendan McGovern:2000000|Caterina Fake:800000|David Mahoney:2800000.0|James Joaquin:2800000.0|Nion McEvoy:2800000.0|Scott Heiferman:2800000.0|Zach Klein:800000,11,-,-,-,-,-,-,-,New York,2007,40.664274:-73.9385
21 Inc,Software,121.05,operating,USA,CA,San Francisco,2,Andreessen Horowitz:116000000|Data Collective:116000000|Khosla Ventures:116000000|Pantera Capital:116000000|Qualcomm Ventures:116000000|RRE Ventures:116000000|Winklevoss Capital:5050000|Yuan Capital:116000000|Karl Mehta:5050000|Peter Thiel:116000000,10,-,-,-,-,-,-,-,San Francisco,2013,37.727239:-123.032229
23andMe,Technology,227.0499,operating,USA,CA,Mountain View,8,Casdin Capital:115000000|Fidelity Management & Research:115000000|Genentech:9000000|Google:21600000.0|Google Ventures:79949900.0|Johnson & Johnson Development Corporation:31000000.0|Mohr Davidow Ventures:9000000|MPM Capital:57949900|National Institutes of Health:1400000|New Enterprise Associates:88949900.0|Stephens Investment Management:9000000|WuXi Healthcare Ventures:115000000|Xfund:115000000|Anne Wojcicki:57949900|Eric Lederman:100000|Sergey Brin:70549900.0|Yuri Milner:57949900,17,-,-,-,-,-,-,-,Santa Clara,2006,37.399364:-122.079517
24M Technologies,Technology,16,operating,USA,MD,Cambridge,1,CRV:16000000|North Bridge Venture Partners & Growth Equity:16000000|U.S. Department of Energy:16000000,3,-,-,-,-,-,-,-,Dorchester,2010,38.557254:-76.075707
24PageBooks,Software,0.05,closed,USA,NY,Rochester,1,Kima Ventures:50000,1,-,-,-,-,-,-,-,Monroe,2010,43.169927:-77.616891
27 Perry,Finance,0.118,closed,USA,CO,Boulder,1,Techstars:118000,1,-,-,-,-,-,-,-,Boulder,2012,40.027443:-105.25174
2Checkout,Finance,72,operating,USA,OH,Columbus,2,Chicago Growth Partners:60000000|Trident Capital:60000000|Trinity Capital Investment:12000000,3,-,-,-,-,-,-,-,Franklin,1999,39.984799:-82.985044
2Morrow Inc,Software,0.3,operating,USA,WA,Kirkland,2,Alliance of Angels:50000,1,-,-,-,-,-,-,-,King,2012,47.684664:-122.191466
"2nd Story Software, Inc.",Software,85,acquired,USA,IA,Cedar Rapids,1,TA Associates:85000000,1,Blucora,Internet,USA,WA,Bellevue,287500000,USD,Linn,1998,41.967048:-91.67776
2nd Watch,Software,37.64442,operating,USA,WA,Seattle,4,Columbia Capital:33000000.0|Madrona Venture Group:33000000.0|Top Tier Capital Partners:10000000,3,-,-,-,-,-,-,-,King,2010,47.620499:-122.350876
2NDNATURE,Software,0.02,operating,USA,CA,Santa Cruz,1,Better Ventures:20000,1,-,-,-,-,-,-,-,Santa Cruz,2004,36.974385:-122.035268
2RedBeans,Software,2.3,operating,USA,CA,Dublin,1,Fine Charm Ventures:2300000|PreAngel:2300000|Silicon Valley Growth Syndicate:2300000|StartX:2300000|StartX Fund:2300000|TEEC Angel Fund:2300000,6,-,-,-,-,-,-,-,Alameda,2010,37.714291:-121.901317
2U Inc.,Education,95.875,ipo,USA,MD,Hyattsville,6,Bessemer Venture Partners:63600000.0|City Light Capital:88500000.0|Highland Capital Partners:83600000.0|Hillman Ventures:26000000|Novak Biddle Venture Partners:88500000.0|QED Investors:58500000.0|Redpoint Ventures:93600000.0|Rethink Education:5100000,8,-,-,-,-,-,-,-,Prince Georges,2008,38.960468:-76.952295
3-V Biosciences,Technology,128.477567,operating,USA,CA,Menlo Park,7,Ally Bridge Group:28500000|Kleiner Perkins Caufield & Byers:106589000.0|New Enterprise Associates:106589000.0|Rock Springs Capital:28500000|The Column Group:30000000,5,-,-,-,-,-,-,-,San Mateo,2007,37.479736:-122.148097
30 Second Showcase,Software,0.025,operating,USA,NJ,Clifton,1,TechLaunch:25000,1,-,-,-,-,-,-,-,Passaic,2013,40.862137:-74.160393
33Across,Marketing,25.65456,operating,USA,NY,New York,5,First Round:22850000.0|Flybridge Capital Partners:22100000.0|Great Oaks Venture Capital:13100000|Greycroft Partners:13100000|iNovia Capital:13100000|Metamorphic Ventures:13100000|Neu Venture Capital:750000|Panorama Capital:13100000|Pelion Venture Partners:13100000|QED Investors:24134560.0|Rose Tech Ventures:750000,11,-,-,-,-,-,-,-,New York,2007,40.664274:-73.9385
"360fly, Inc.",Hardware,17.8,operating,USA,PA,Pittsburgh,1,Catterton Partners:17800000|MAG Ventures:17800000|Qualcomm Ventures:17800000,3,-,-,-,-,-,-,-,Allegheny,1998,40.439753:-79.976592
365 Data Centers,Software,16,operating,USA,CA,Emeryville,1,Crosslink Capital:16000000|Housatonic Partners:16000000,2,-,-,-,-,-,-,-,Alameda,2012,37.838875:-122.297856
37coins,Finance,0.525,operating,USA,CA,Sunnyvale,2,500 Startups:500000|Marc Bell Ventures:500000|Plug & Play Ventures:25000|Terrence Yang:500000,4,-,-,-,-,-,-,-,Santa Clara,2014,37.385784:-122.026323
3Claps,Health,0.035,operating,USA,NY,New York,1,Primer:35000,1,-,-,-,-,-,-,-,New York,2015,40.664274:-73.9385
3CLogic,Services,9.31119,operating,USA,MD,Rockville,4,Blu Venture Investors:4200000|Camber Creek:6422190.0|J. Hunt Holdings:4200000|Maryland Venture Fund:5740000.0,4,-,-,-,-,-,-,-,Montgomery,2005,39.083647:-77.155618
3D Product Imaging,Software,0.24,operating,USA,WA,Seattle,2,9Mile Labs:35000,1,-,-,-,-,-,-,-,King,2013,35.066463:-85.247065
3D Robotics,Entertainment,99,operating,USA,CA,San Diego,4,Atlantic Bridge:64000000.0|Danhua Capital:14000000|Foundry Group:80000000.0|Mayfield Fund:80000000.0|O'Reilly AlphaTech Ventures:85000000.0|Ooga Labs:30000000|Qualcomm Ventures:64000000.0|SanDisk Ventures:64000000.0|Shea Ventures:50000000|SK Ventures:85000000.0|True Ventures:85000000.0|WestSummit Capital:64000000.0|Christopher Michel:5000000,13,-,-,-,-,-,-,-,San Diego,2009,47.620499:-122.350876
3D Systems,Software,169.5,ipo,USA,SC,Rock Hill,3,PNC Erieview Capital:150000000,1,-,-,-,-,-,-,-,York,1986,32.8153:-117.134993
3Derm Systems,Software,1.88,operating,USA,CT,New Haven,4,MassChallenge:50000,1,-,-,-,-,-,-,-,New Haven,2012,34.943368:-81.021451
3Guppies,Entertainment,20,operating,USA,WA,Seattle,1,VantagePoint Capital Partners:20000000,1,-,-,-,-,-,-,-,King,2003,41.310809:-72.924953
3Jam,Software,4,operating,USA,CA,San Francisco,1,New Enterprise Associates:4000000|Norwest Venture Partners - NVP:4000000,2,-,-,-,-,-,-,-,San Francisco,2005,47.620499:-122.350876
