ID,Location,Track,Week,Rating (Num),Schedule Pacing
134,San Francisco,"Apps, Explorer",Week 1,3,Just right
36,Los Angeles,Apps,Week 1,4,A little too fast
117,San Francisco,Games,Week 1,4,Way too slow
253,,,Week 2,4,A little too fast
350,New York City,"Apps, Explorer",Week 1,4,Just right
23,Redwood City,Apps,Week 1,5,Just right
28,Los Angeles,Apps,Week 7,5,Just right
65,San Francisco,Apps,Week 1,5,A little too slow
101,Santa Clara,Apps,Week 1,5,A little too slow
124,Santa Clara,Apps,Week 1,5,Just right
157,Redwood City,Apps,Week 2,5,Just right
170,Oakland,Apps,Week 2,5,Just right
255,San Francisco,Apps,Week 2,5,Way too fast
289,Washington DC,Apps,Week 1,5,Just right
299,Washington DC,"Apps, Explorer",Week 1,5,A little too slow
307,,,Week 3,5,A little too slow
319,Redwood City,Apps,Week 3,5,Just right
336,New York City,Apps,Week 1,5,A little too slow
441,San Francisco,"Apps, Explorer",Week 3,5,Just right
482,Santa Clara,Apps,Week 3,5,Just right
37,Los Angeles,Games,Week 1,6,Just right
41,Chicago,"Apps, Explorer",Week 1,6,Just right
45,Chicago,Apps,Week 1,6,A little too slow
47,Chicago,Apps,Week 1,6,A little too slow
77,San Francisco,Apps,Week 1,6,A little too fast
78,San Francisco,Apps,Week 1,6,A little too fast
94,San Francisco,"Apps, Explorer",Week 1,6,Just right
193,Santa Clara,Apps,Week 2,6,Just right
251,San Francisco,"Apps, Explorer",Week 2,6,Just right
254,San Francisco,Apps,Week 2,6,Way too fast
276,Santa Clara,Apps,Week 2,6,Just right
294,Washington DC,Apps,Week 1,6,Way too fast
314,Redwood City,Apps,Week 3,6,A little too slow
340,,,Week 1,6,A little too slow
347,New York City,Games,Week 1,6,A little too fast
349,New York City,Apps,Week 1,6,Just right
397,Santa Clara,Games,Week 3,6,Way too slow
429,Santa Clara,Apps,Week 3,6,Just right
438,San Francisco,"Apps, Explorer",Week 3,6,Just right
452,San Francisco,Apps,Week 3,6,Way too fast
455,San Francisco,"Apps, Explorer",Week 3,6,Just right
472,San Francisco,Apps,Week 3,6,A little too fast
484,Oakland,Apps,Week 3,6,A little too slow
489,,,Week 1,6,A little too slow
20,Redwood City,Apps,Week 1,7,A little too slow
26,Los Angeles,Apps,Week 1,7,A little too fast
35,Los Angeles,Apps,Week 1,7,Just right
38,Chicago,Apps,Week 1,7,A little too fast
48,San Francisco,VR,Week 1,7,A little too slow
62,San Francisco,Apps,Week 1,7,A little too fast
67,San Francisco,Apps,Week 1,7,Just right
72,San Francisco,Apps,Week 1,7,A little too fast
75,San Francisco,Apps,Week 1,7,A little too fast
85,Santa Clara,Apps,Week 1,7,A little too fast
87,San Francisco,Apps,Week 1,7,A little too fast
104,San Francisco,"Apps, Explorer",Week 1,7,A little too fast
107,San Francisco,Games,Week 1,7,Just right
118,San Francisco,"Apps, Explorer",Week 1,7,Just right
122,Santa Clara,Apps,Week 1,7,Just right
136,San Francisco,"Apps, Explorer",Week 1,7,Just right
140,San Francisco,"Apps, Explorer",Week 1,7,A little too fast
155,San Francisco,Apps,Week 1,7,Just right
